tail;head;cost
Complex1452,Protein3238,Protein3239,Protein3240,Protein3241;Complex1454,Protein3229,Protein3231;1
Complex1454,Protein2093,Protein3242,Protein3243;Complex1456,Complex719,Protein2673,Protein3232,Protein3238,Protein3239,Protein3240,Protein3241;1
Complex1458,Protein3244,Protein3248;Complex1459;1
Complex1459,Complex851,Protein3249,Protein3250,Protein3251,Protein3252,Protein3253,Protein3254;Complex1460;1
Complex1459,Protein1837,Protein3255,Protein3256,Protein3257,Protein3258,Protein3259,Protein3260,Protein3261;Complex1461;1
Complex1464,Protein3230;Complex1465;1
Complex1464,SmallMolecule361,Complex1466;Complex1467,SmallMolecule362;1
Complex1465,Protein1852;Complex1466;1
Complex1468;Complex1469,Complex1471,Complex1472,Complex1473,Complex1474,Complex1475,Complex1476,PhysicalEntity480,Protein3287,Protein3290,Protein3291,SmallMolecule451;1
Complex1468;Complex1478;1
Complex1468;Complex5022;1
Complex1468,SmallMolecule451;Complex5049,SmallMolecule451;1
Complex1469,Complex4518,SmallMolecule451;Complex4519,SmallMolecule451;1
Complex1469,Complex5024,SmallMolecule451;Complex5023,SmallMolecule451;1
Complex1473,Complex4516;Complex4518;1
Complex1473,Complex5025;Complex5024;1
Complex1474,Complex4519,Complex1474;Complex4537,Complex975;1
Complex1474,Complex5023,Complex1474;Complex5047,Complex975;1
Complex1475,Complex1476,Complex3383,Complex4526,Protein3287,Protein3291;Complex4528;1
Complex1475,Complex1476,Complex3383,Complex4537,Protein3287,Protein3291;Complex4538;1
Complex1475,Complex1476,Complex3383,Complex5047,Protein3287,Protein3291;Complex5048;1
Complex1477,Protein3292;Complex1476;1
Complex1478;Complex1468;1
Complex1478;Complex5027;1
Complex1490;Complex1491;1
Complex1490,Protein3339;Complex1511;1
Complex1491,Complex1514;Complex1515;1
Complex1491,Dna58;Complex1492;1
Complex1491,Dna60;Complex1493;1
Complex1491,Dna61;Complex1495;1
Complex1491,Dna62;Complex1497;1
Complex1491,Dna63;Complex1500;1
Complex1491,Dna64;Complex1501;1
Complex1491,Dna65;Complex1502;1
Complex1491,Dna66;Complex1503;1
Complex1491,Dna67;Complex1504;1
Complex1491,Dna68;Complex1505;1
Complex1491,Dna69;Complex1506;1
Complex1491,Dna70;Complex1507;1
Complex1491,Dna71;Complex1509;1
Complex1491,Dna72;Complex1510;1
Complex14,Complex16;Complex17;1
Complex1512,Protein3340;Complex1513;1
Complex1513;Complex1514;1
Complex1516,Protein1716,Complex1041;Protein2465,Protein3364;1
Complex1517,Protein1739;Protein3360,Protein3361;1
Complex1523,Complex565,SmallMolecule146;Complex1526;1
Complex1526,Protein3378,SmallMolecule138,Complex1526;Complex8887,SmallMolecule134;1
Complex1526,Protein3379,SmallMolecule138,Complex1526;Complex7836,SmallMolecule134;1
Complex1546,SmallMolecule426,Complex1552;Complex1549,SmallMolecule478;1
Complex1546,SmallMolecule426,Complex1559;Complex1549,SmallMolecule478;1
Complex1546,SmallMolecule426,Protein3640;Complex1549,SmallMolecule478;1
Complex1546,SmallMolecule426,Protein3641;Complex1549,SmallMolecule478;1
Complex1558,Complex3847;Complex3848;1
Complex1565,Complex1565;Complex1566;1
Complex1566,Protein3782;Complex1571;1
Complex1567,Complex1569;Complex1568;1
Complex1581,SmallMolecule123;Complex1584;1
Complex1584;Complex1581,SmallMolecule123;1
Complex1585,Complex791;Complex1586;1
Complex1585,SmallMolecule504;Protein3939,Protein3943;1
Complex1586,SmallMolecule506;Protein3944,Protein3945;1
Complex1588,SmallMolecule138,Complex1590;Complex1589,SmallMolecule134;1
Complex1589,SmallMolecule123,Protein3991;Complex1588,SmallMolecule124;1
Complex158,Complex160,Protein441;Complex161;1
Complex160,Complex223,Protein441;Complex224;1
Complex161,SmallMolecule123,Complex161;Complex160,Protein386,Protein387,Protein388,Protein391,Protein430,Protein441,SmallMolecule134;1
Complex162,Complex163;Complex164;1
Complex1640,SmallMolecule534,Complex1640;Complex1641,SmallMolecule535;1
Complex1641,SmallMolecule534,Complex1641;Complex1648,SmallMolecule535;1
Complex1642,SmallMolecule534,Complex1642;Complex1643,SmallMolecule535;1
Complex1643,SmallMolecule534,SmallMolecule502,Complex1643;Complex1649,SmallMolecule535;1
Complex1644,SmallMolecule534,Complex1644;Complex1645,SmallMolecule535;1
Complex1645,SmallMolecule534,Complex1645;Complex1650,SmallMolecule535;1
Complex1646,SmallMolecule534,Complex1646;Complex1647,SmallMolecule535;1
Complex1648,Protein4008;Complex1651;1
Complex1649,Protein4008;Complex1652;1
Complex164,SmallMolecule123,Complex164;Complex165,SmallMolecule124;1
Complex1650,Protein4008;Complex1653;1
Complex1651,Protein4010;Complex1654;1
Complex1653,Protein4010;Complex1655;1
Complex1654,SmallMolecule534,Complex1654;Complex1656,SmallMolecule536;1
Complex1655,SmallMolecule534,Complex1655;Complex1657,SmallMolecule536;1
Complex1656,Complex1658;Complex1659;1
Complex1657,Complex1658;Complex1660;1
Complex1659,SmallMolecule138,Complex1659;Complex1661,SmallMolecule134;1
Complex165,Complex167;Complex170;1
Complex1660,SmallMolecule138,Complex1660;Complex1662,SmallMolecule134;1
Complex1661,Protein1716,Protein4016;Complex1651,Protein4014,Protein4015;1
Complex1662,Protein1716,Protein4016;Complex1653,Protein4014,Protein4015;1
Complex1663,SmallMolecule123,Complex1665;Complex1664,SmallMolecule124;1
Complex1663,SmallMolecule143;Complex1671;1
Complex1666,SmallMolecule123,Complex1665,SmallMolecule146;Complex1667,SmallMolecule124;1
Complex1666,SmallMolecule143;Complex1672;1
Complex1668,SmallMolecule123,SmallMolecule146,Complex1670;Complex1669,SmallMolecule124;1
Complex1671;Complex1663,SmallMolecule143;1
Complex1672;Complex1666,SmallMolecule143;1
Complex1673,SmallMolecule134,Complex1675;Complex1674,SmallMolecule532;1
Complex1676,SmallMolecule134,Complex1669;Complex1677,SmallMolecule532;1
Complex1678,Protein4032;Complex1679;1
Complex1679,Protein4032;Complex1682,SmallMolecule499;1
Complex1683,SmallMolecule134,Complex1675;Complex1685,SmallMolecule532;1
Complex1684,SmallMolecule134,Complex1669;Complex1686,SmallMolecule532;1
Complex1687,SmallMolecule539,Protein4035;Complex1687,SmallMolecule540;1
Complex1690,SmallMolecule539,Protein4035;Complex1687,SmallMolecule540;1
Complex170,Complex171,Complex177,PhysicalEntity21,Protein432,Protein462,Protein476;Complex179;1
Complex1712,Complex1713;Complex1715;1
Complex1715,Complex1715;Complex1715,PhysicalEntity203;1
Complex1773,Protein4876;Complex1774;1
Complex1774;Complex1775,Protein4876;1
Complex1775,SmallMolecule215;Complex1776;1
Complex1782,Protein4897,Protein4898,Protein4899,SmallMolecule719,SmallMolecule721,SmallMolecule722,Complex1781;Complex1783;1
Complex1783,Protein301;Complex1784;1
Complex1784,Complex1786;Complex1787,Complex431;1
Complex1786,Complex2502;Complex2503,Complex431;1
Complex1787,Complex1789,Protein4907,Protein4904;Complex1788,SmallMolecule211,SmallMolecule701;1
Complex1788,Complex431;Complex1791,Complex1792;1
Complex178,Complex5719,Protein12115,Protein12115;Complex5720,SmallMolecule134;1
Complex179,Complex179;Complex163,Complex180,Protein445,Protein476;1
Complex1792,Protein1145;Complex1793;1
Complex1793,Protein4908,Protein4911;Complex1794;1
Complex1794,Protein4915;Complex1798;1
Complex1798;Complex1802;1
Complex1802;Complex1806,Protein4916;1
Complex180,Complex194;Complex197;1
Complex1810,Complex3693;Complex3717;1
Complex1810,Protein14636;Complex6491;1
Complex1811,Protein971;Complex1812;1
Complex1813,Protein4927;Complex1817;1
Complex1813,SmallMolecule724;Complex1816;1
Complex1814,SmallMolecule724,SmallMolecule725;Complex1813;1
Complex1817;Complex1813,Protein4927;1
Complex1819;Complex431,Protein4927;1
Complex1820,Complex431;Complex1821,Complex1822;1
Complex1820,Complex431,SmallMolecule742;Complex1823;1
Complex1822,Complex435;Complex1820,Complex1828;1
Complex1824;Complex1814,Protein1215,SmallMolecule723,SmallMolecule724,SmallMolecule725,SmallMolecule743;1
Complex1826,Complex2434;Complex2435;1
Complex1826,Protein971;Complex1827;1
Complex1830;Complex1832;1
Complex1830,Protein4915;Complex1832;1
Complex1832;Complex1834;1
Complex1834;Complex1836,Protein4916;1
Complex1837;Complex1839;1
Complex1838;Protein4942,Protein4944;1
Complex1839,Protein4948;Complex1840;1
Complex1844,SmallMolecule138,Protein4964;Complex1843,SmallMolecule754;1
Complex1845,SmallMolecule539,Protein4997;SmallMolecule776,SmallMolecule777;1
Complex1858,Complex7956;Complex7957;1
Complex1859,PhysicalEntity284;SmallMolecule1763;1
Complex1881,Protein3303,Protein3306,Protein5079;Complex1882;1
Complex1882,Complex1883,Protein3307;Complex1485,Protein5079,Protein5082;1
Complex1885,Complex1886,Dna123;Complex1950;1
Complex1885,Complex1886,Dna124,Protein1952;Complex1951;1
Complex1885,Complex1886,Dna125,Protein1952;Complex1952;1
Complex1885,Complex1886,Dna126,Protein1952;Complex1953;1
Complex1885,Complex1886,Dna127,Protein1952;Complex1954;1
Complex1885,Complex1886,Dna128,Protein1952;Complex1955;1
Complex1885,Complex1886,Dna129,Protein1952;Complex1956;1
Complex1885,Complex1886,Dna130;Complex1957;1
Complex1885,Complex1886,Dna77;Complex1884;1
Complex1885,Dna121;Complex1948;1
Complex1885,Dna122;Complex1949;1
Complex1886,Complex1899,Dna100,Protein1952;Complex1898;1
Complex1886,Complex1899,Dna104;Complex1900;1
Complex1886,Complex1899,Dna117;Complex1944;1
Complex1886,Complex1899,Dna132;Complex1959;1
Complex1886,Complex1941,Dna118;Complex1945;1
Complex1886,Complex1941,Dna119,Protein1952;Complex1946;1
